"filename", "language", "Java", "Batch", "XML", "Properties", "YAML", "comment", "blank", "total"
"d:\IDEA program\sportplay\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 3, 0, 16, 1, 20
"d:\IDEA program\sportplay\mvnw.cmd", "Batch", 0, 108, 0, 0, 0, 26, 16, 150
"d:\IDEA program\sportplay\pom.xml", "XML", 0, 0, 209, 0, 0, 13, 15, 237
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\AliPay\AlipayConfiguration.java", "Java", 56, 0, 0, 0, 0, 0, 24, 80
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\AliPay\AlipayController.java", "Java", 110, 0, 0, 0, 0, 108, 34, 252
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\AliPay\testForAliPay.java", "Java", 47, 0, 0, 0, 0, 12, 16, 75
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\SportplayApplication.java", "Java", 12, 0, 0, 0, 0, 1, 9, 22
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\annotation\FaceLog.java", "Java", 7, 0, 0, 0, 0, 0, 4, 11
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\annotation\aspect\FaceAspect.java", "Java", 26, 0, 0, 0, 0, 4, 9, 39
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\ClassInfo.java", "Java", 135, 0, 0, 0, 0, 0, 38, 173
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\Classification.java", "Java", 24, 0, 0, 0, 0, 0, 7, 31
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\Comment.java", "Java", 62, 0, 0, 0, 0, 7, 22, 91
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\Face.java", "Java", 90, 0, 0, 0, 0, 34, 34, 158
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\FaceVefLog.java", "Java", 55, 0, 0, 0, 0, 19, 19, 93
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\FoodBook.java", "Java", 52, 0, 0, 0, 0, 0, 16, 68
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\FoodInfo.java", "Java", 45, 0, 0, 0, 0, 0, 14, 59
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\FoodType.java", "Java", 17, 0, 0, 0, 0, 0, 6, 23
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\HealthData.java", "Java", 95, 0, 0, 0, 0, 0, 29, 124
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\Order.java", "Java", 95, 0, 0, 0, 0, 0, 29, 124
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\QueryInfo.java", "Java", 39, 0, 0, 0, 0, 0, 11, 50
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\RunData.java", "Java", 39, 0, 0, 0, 0, 0, 16, 55
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\TodayCalorie.java", "Java", 32, 0, 0, 0, 0, 0, 11, 43
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\User.java", "Java", 111, 0, 0, 0, 0, 0, 29, 140
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\UserCondition.java", "Java", 24, 0, 0, 0, 0, 0, 8, 32
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\WeightLog.java", "Java", 32, 0, 0, 0, 0, 0, 13, 45
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\bean\result\FaceResult.java", "Java", 104, 0, 0, 0, 0, 29, 35, 168
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\config\FaceConfig.java", "Java", 47, 0, 0, 0, 0, 7, 8, 62
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\config\MyConfig.java", "Java", 17, 0, 0, 0, 0, 0, 2, 19
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\config\MybatisConfig.java", "Java", 23, 0, 0, 0, 0, 4, 5, 32
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 55, 1, 56
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\AvaterPicController.java", "Java", 54, 0, 0, 0, 0, 15, 8, 77
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\ClassController.java", "Java", 122, 0, 0, 0, 0, 24, 13, 159
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\ClassPicController.java", "Java", 54, 0, 0, 0, 0, 19, 8, 81
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\ClassificationController.java", "Java", 69, 0, 0, 0, 0, 3, 14, 86
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\EchartsController.java", "Java", 45, 0, 0, 0, 0, 7, 6, 58
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FaceController.java", "Java", 69, 0, 0, 0, 0, 4, 16, 89
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FaceVefLogController.java", "Java", 41, 0, 0, 0, 0, 4, 6, 51
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FileController.java", "Java", 54, 0, 0, 0, 0, 15, 8, 77
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FoodBookController.java", "Java", 69, 0, 0, 0, 0, 8, 14, 91
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FoodInfoController.java", "Java", 69, 0, 0, 0, 0, 8, 13, 90
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\FoodTypeController.java", "Java", 69, 0, 0, 0, 0, 3, 13, 85
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\LoginController.java", "Java", 51, 0, 0, 0, 0, 6, 13, 70
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\OrderController.java", "Java", 97, 0, 0, 0, 0, 16, 17, 130
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\UserController.java", "Java", 234, 0, 0, 0, 0, 37, 30, 301
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\WxOrderController.java", "Java", 45, 0, 0, 0, 0, 11, 12, 68
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\controller\WxPayController.java", "Java", 21, 0, 0, 0, 0, 10, 4, 35
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\ClassDao.java", "Java", 22, 0, 0, 0, 0, 1, 4, 27
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\ClassificationDao.java", "Java", 14, 0, 0, 0, 0, 0, 4, 18
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\FoodBookDao.java", "Java", 14, 0, 0, 0, 0, 0, 5, 19
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\FoodDao.java", "Java", 14, 0, 0, 0, 0, 0, 4, 18
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\FoodInfoDao.java", "Java", 15, 0, 0, 0, 0, 0, 4, 19
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\OrderDao.java", "Java", 19, 0, 0, 0, 0, 3, 6, 28
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\dao\UserDao.java", "Java", 45, 0, 0, 0, 0, 5, 11, 61
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\mapper\FaceMapper.java", "Java", 5, 0, 0, 0, 0, 6, 9, 20
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\mapper\FaceVefLogMapper.java", "Java", 5, 0, 0, 0, 0, 6, 9, 20
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\server\FaceContrastServer.java", "Java", 48, 0, 0, 0, 0, 4, 5, 57
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\ClassService.java", "Java", 20, 0, 0, 0, 0, 2, 6, 28
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\ClassificationService.java", "Java", 11, 0, 0, 0, 0, 0, 5, 16
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\FaceService.java", "Java", 7, 0, 0, 0, 0, 10, 4, 21
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\FaceVefLogService.java", "Java", 5, 0, 0, 0, 0, 5, 4, 14
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\FoodBookService.java", "Java", 11, 0, 0, 0, 0, 0, 7, 18
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\FoodInfoService.java", "Java", 12, 0, 0, 0, 0, 0, 5, 17
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\FoodService.java", "Java", 12, 0, 0, 0, 0, 0, 5, 17
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\OrderService.java", "Java", 16, 0, 0, 0, 0, 1, 9, 26
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\UserService.java", "Java", 41, 0, 0, 0, 0, 4, 10, 55
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\ClassServiceImpl.java", "Java", 58, 0, 0, 0, 0, 1, 12, 71
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\ClassificationServiceImpl.java", "Java", 36, 0, 0, 0, 0, 0, 9, 45
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\FaceServiceImpl.java", "Java", 92, 0, 0, 0, 0, 17, 15, 124
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\FaceVefLogServiceImpl.java", "Java", 10, 0, 0, 0, 0, 5, 8, 23
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\FoodBookServiceImpl.java", "Java", 34, 0, 0, 0, 0, 0, 11, 45
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\FoodInfoServiceImpl.java", "Java", 34, 0, 0, 0, 0, 0, 11, 45
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\FoodServiceImpl.java", "Java", 37, 0, 0, 0, 0, 0, 10, 47
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\OrderServiceImpl.java", "Java", 56, 0, 0, 0, 0, 0, 13, 69
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\service\impl\UserServiceImpl.java", "Java", 148, 0, 0, 0, 0, 0, 24, 172
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\test.java", "Java", 18, 0, 0, 0, 0, 1, 4, 23
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\BarCodeUtils.java", "Java", 148, 0, 0, 0, 0, 23, 24, 195
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\CorsConfig.java", "Java", 20, 0, 0, 0, 0, 0, 2, 22
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\JwtInterceptor.java", "Java", 26, 0, 0, 0, 0, 8, 11, 45
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\JwtUtil.java", "Java", 52, 0, 0, 0, 0, 32, 10, 94
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\JwtUtils.java", "Java", 30, 0, 0, 0, 0, 22, 9, 61
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\MvcConfig.java", "Java", 18, 0, 0, 0, 0, 6, 7, 31
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\R.java", "Java", 50, 0, 0, 0, 0, 0, 14, 64
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\Result.java", "Java", 43, 0, 0, 0, 0, 0, 15, 58
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\TimeUtils.java", "Java", 18, 0, 0, 0, 0, 4, 4, 26
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\WebSocketConfig.java", "Java", 11, 0, 0, 0, 0, 1, 4, 16
"d:\IDEA program\sportplay\src\main\java\com\deyunjiaoyu\sportplay\utils\WebSocketServer.java", "Java", 79, 0, 0, 0, 0, 38, 13, 130
"d:\IDEA program\sportplay\src\main\resources\application.properties", "Properties", 0, 0, 0, 4, 0, 1, 1, 6
"d:\IDEA program\sportplay\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 28, 12, 6, 46
"d:\IDEA program\sportplay\src\main\resources\mapper\ClassMapping.xml", "XML", 0, 0, 86, 0, 0, 4, 9, 99
"d:\IDEA program\sportplay\src\main\resources\mapper\ClassificationMapping.xml", "XML", 0, 0, 31, 0, 0, 7, 4, 42
"d:\IDEA program\sportplay\src\main\resources\mapper\FaceMapper.xml", "XML", 0, 0, 24, 0, 0, 0, 3, 27
"d:\IDEA program\sportplay\src\main\resources\mapper\FaceVefLogMapper.xml", "XML", 0, 0, 17, 0, 0, 0, 3, 20
"d:\IDEA program\sportplay\src\main\resources\mapper\FoodBookMapping.xml", "XML", 0, 0, 47, 0, 0, 1, 7, 55
"d:\IDEA program\sportplay\src\main\resources\mapper\FoodInfoMapping.xml", "XML", 0, 0, 46, 0, 0, 1, 7, 54
"d:\IDEA program\sportplay\src\main\resources\mapper\FoodMapping.xml", "XML", 0, 0, 31, 0, 0, 7, 4, 42
"d:\IDEA program\sportplay\src\main\resources\mapper\OrderMapping.xml", "XML", 0, 0, 75, 0, 0, 10, 13, 98
"d:\IDEA program\sportplay\src\main\resources\mapper\UserMapping.xml", "XML", 0, 0, 165, 0, 0, 5, 28, 198
"d:\IDEA program\sportplay\src\test\java\com\deyunjiaoyu\sportplay\SportplayApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 3922, 108, 731, 7, 28, 778, 1112, 6686